vue_serie_6_mois,temps,periode,moment,attente,Binge_watching,refaire_binge_watching,pratiquer_binge_watching,type_serie,choix_serie,Recommandations_d'un_ami,Avis_d’autres_utilisateurs_sur_des_sites_web,Buzz,Acteurs,Pub,Realisateur/Production,Recommandations_plateformes,plateforme_serie,compagnie_serie,duree_ideal_serie,serie_avant,avis_netflix,prix_plateforme,age,sexe,categorie,nationalite,choix_fun,origine_serie,choix_ile,langue_serie
Oui,Plus de 10h #jen'aipasdevie,"En semaine,Le weekend","En soiree,La nuit",Je n'ai pas de preference,Oui,Oui,,"Action - Aventure,Comedie,Dramatique,SF - Fantastique","Game of Thrones,Hana Yori Dango,My Love from another Star,Vikings,Stranger Things",1,2,1,2,-1,1,-1,"Des plateformes de visionnage payantes,En telechargement ou streaming illegal","Seul,En couple,Entre amis",Entre 40min et 1h,,"Proposent une large gamme de films et des series en illimite et sans publicite,Adaptees a mes besoins",Entre de 5E et 10E,24,femme,3A,Francais,L'ours,"Americaine,Coreen",Ferdinand,"VO,VOSTEN"
Oui,Entre 1h et 3h,"En semaine,Le weekend","La journee,En soiree,La nuit",Je n'ai pas de preference,Oui,Oui,,"Dramatique,Policier,SF - Fantastique","The Wire,Un Dos Tres,Rich and Morty,Stranger Things,Twin Peaks",2,0,-1,0,-2,1,-1,"Des plateformes de visionnage payantes,En telechargement ou streaming illegal","Seul,En couple,Entre amis",Entre 40min et 1h,,"Proposent une large gamme de films et des series en illimite et sans publicite,Je prefere acceder au contenu illegalement et gratuitement",Moins de 5E,24,homme,3A,Francais,Le requin,"Americaine,British,Francaise,Japonais",Anis,"VO,VOSTFR,VOSTEN"
Oui,Moins d'1h,"En semaine,Le weekend","En soiree,La nuit",Regarder une serie en cours de diffusion,Non,,Non,"Action - Aventure,Comedie,Dramatique","Game of Thrones,Friends,Rich and Morty,Stranger Things,Serie de Fourier",1,1,-1,-1,-2,-2,-1,"Des plateformes de visionnage payantes,En telechargement ou streaming illegal",Seul,Entre 40min et 1h,,Adaptees a mes besoins,Entre de 5E et 10E,24,homme,Doctorant,Francais,L'ours,Americaine,Anis,"VO,VOSTEN"
Oui,Entre 3h et 6h,"En semaine,Le weekend",En soiree,Attendre la sortie de la saison entiere avant de commencer le visionnage,Non,,Non,"Action - Aventure,Policier,SF - Fantastique","Game of Thrones,House of Cards,Le Bureau des Legendes,The Wire,Lost",0,-1,0,-1,-1,1,2,"Des plateformes de visionnage payantes","Seul,En famille",Entre 40min et 1h,,"Proposent une large gamme de films et des series en illimite et sans publicite,Adaptees a mes besoins",Entre de 5E et 10E,49,homme,Enseignant/Chercheur,Francais,Le requin,"Americaine,British",Amelie,"VOSTEN,VF"
Oui,Entre 1h et 3h,"En semaine,Le weekend",En soiree,Je n'ai pas de preference,Non,,Non,Action - Aventure,"Game of Thrones,Friends,Les Simpsons,House of Cards,Vikings",2,1,1,1,-1,-2,-2,"En telechargement ou streaming illegal","Seul,Entre amis",Entre 40min et 1h,,"Le prix est trop eleve,Pas adaptees a mes besoins,Je prefere acceder au contenu illegalement et gratuitement",Moins de 5E,21,homme,3A,Francais,Le requin,"Americaine,British",,VOSTEN
Oui,Entre 1h et 3h,"En semaine,Le weekend","En soiree,La nuit",Regarder une serie en cours de diffusion,Oui,Oui,,"Action - Aventure,Dramatique,Policier","Friends,Grey's Anatomy,Plus belle la vie,Vikings,Prison Break",2,1,2,2,1,1,2,"Des plateformes de visionnage payantes,chaines gratuites,chaines payantes","Seul,En couple,En famille",Entre 40min et 1h,,Proposent une large gamme de films et des series en illimite et sans publicite,Entre de 5E et 10E,45,femme,Personnel de l'ecole,Francais,L'ours,"Americaine,Francaise",Edouard,VF
Oui,Entre 3h et 6h,En semaine,"La journee,En soiree,La nuit",Je n'ai pas de preference,Oui,Oui,,"Action - Aventure,Comedie,Dramatique,Policier,Romantique,SF - Fantastique,Sitcom","Game of Thrones,Friends,Grey's Anatomy,House of Cards,Downtown Abbey",2,-2,0,1,-1,0,0,"Des plateformes de visionnage payantes,En telechargement ou streaming illegal,chaines gratuites,chaines payantes","Seul,Entre amis,En famille",Entre 20min et 30min,,"Proposent une large gamme de films et des series en illimite et sans publicite,Le prix est trop eleve",Moins de 5E,25,femme,Ancien eleve,Francais,L'ours,"Americaine,British,Francaise",Ferdinand,"VO,VOSTFR,VOSTEN"
Oui,Entre 1h et 3h,"En semaine,Le weekend",En soiree,Je n'ai pas de preference,Oui,Oui,,Comedie,"Game of Thrones,Les Simpsons,Vikings,Rich and Morty,Stranger Things",2,0,0,0,0,0,0,"Des plateformes de visionnage payantes,En telechargement ou streaming illegal","Seul,En couple",Moins de 20min,,Je prefere acceder au contenu illegalement et gratuitement,Entre de 5E et 10E,22,homme,3A,Francais,Le requin,"Americaine",Anis,"VO,VOSTFR,VOSTEN"
Oui,Moins d'1h,"En semaine,Le weekend",La nuit,Je n'ai pas de preference,Oui,Non,,"Action - Aventure,Anime - Manga,SF - Fantastique","Friends,Les Simpsons,House of Cards,Dragon Ball,Serie de Fourier",2,1,1,1,1,1,1,"En telechargement ou streaming illegal,chaines gratuites",Seul,Entre 20min et 30min,,Je ne connais pas,Je ne souhaite pas payer pour ce genre de service,22,homme,2A,Francais,L'ours,"Americaine,Japonais",Anis,"VO,VOSTEN"
Oui,Entre 3h et 6h,"En semaine,Le weekend",En soiree,Je n'ai pas de preference,Oui,Oui,,"Action - Aventure,Dramatique,Policier,SF - Fantastique","House of Cards,Le Bureau des Legendes,Stranger Things,Twin Peaks,Lost",2,1,-1,-1,-2,1,1,"Des plateformes de visionnage payantes,chaines gratuites",En couple,Entre 40min et 1h,,"Proposent une large gamme de films et des series en illimite et sans publicite,Adaptees a mes besoins",Entre 10E et 20E,23,homme,Ancien eleve,Francais,Le requin,"Americaine,British,Francaise",,VOSTFR
